"name","avg_price","unit_value","unit","price_year","avg_pay","currency","branch","GDP"
Kapr živý,90.09,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
"Pivo výčepní, světlé, lahvové",10.16,0.5,l,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Těstoviny vaječné,37.55,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Eidamská cihla,128.08,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Máslo,137.03,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Pšeničná mouka hladká,11.53,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Jablka konzumní,31.0,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Papriky,58.83,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Rýže loupaná dlouhozrnná,34.04,1.0,kg,2012,23156.1250,Kč,Vzdělávání,211080224602.858
Eidamská cihla,141.97,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Máslo,154.8,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Pšeničná mouka hladká,13.34,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Jablka konzumní,34.3,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Papriky,61.86,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Rýže loupaná dlouhozrnná,34.73,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Banány žluté,31.79,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Konzumní brambory,16.93,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Pomeranče,31.37,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Vejce slepičí čerstvá,30.48,10.0,ks,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Hovězí maso zadní bez kosti,207.19,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Mléko polotučné pasterované,19.34,1.0,l,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Rajská jablka červená kulatá,37.1,1.0,kg,2013,23551.2500,Kč,Vzdělávání,210983331025.624
Jogurt bílý netučný,7.7,150.0,g,2013,23551.2500,Kč,Vzdělávání,210983331025.624
